freq_Hz,VCO,REF,DTC,MMD,SPD_GM,DSM_QN,TOTAL
3881.257,-144.343,-103.177,-126.154,-128.793,-130.793,-266.997,-103.135
3994.880,-144.215,-103.302,-126.154,-128.793,-130.793,-266.496,-103.259
4111.829,-144.086,-103.427,-126.154,-128.793,-130.793,-265.995,-103.383
4232.202,-143.958,-103.552,-126.154,-128.793,-130.793,-265.493,-103.507
4356.099,-143.829,-103.677,-126.154,-128.793,-130.793,-264.992,-103.631
4483.623,-143.700,-103.802,-126.154,-128.793,-130.793,-264.491,-103.754
4614.880,-143.571,-103.927,-126.154,-128.793,-130.793,-263.990,-103.878
4749.979,-143.442,-104.053,-126.154,-128.793,-130.793,-263.488,-104.002
4889.034,-143.313,-104.178,-126.154,-128.793,-130.793,-262.987,-104.125
5032.159,-143.183,-104.303,-126.154,-128.793,-130.793,-262.486,-104.249
5179.475,-143.054,-104.428,-126.154,-128.793,-130.793,-261.984,-104.372
5331.103,-142.924,-104.553,-126.154,-128.793,-130.793,-261.483,-104.496
5487.169,-142.795,-104.678,-126.154,-128.793,-130.793,-260.982,-104.619
5647.805,-142.665,-104.803,-126.154,-128.793,-130.793,-260.481,-104.743
5813.143,-142.535,-104.928,-126.154,-128.793,-130.793,-259.979,-104.866
5983.322,-142.405,-105.053,-126.154,-128.793,-130.793,-259.478,-104.989
6158.482,-142.275,-105.178,-126.154,-128.793,-130.793,-258.977,-105.112
6338.770,-142.144,-105.303,-126.154,-128.793,-130.793,-258.475,-105.235
6524.336,-142.014,-105.428,-126.154,-128.793,-130.793,-257.974,-105.358
6715.335,-141.883,-105.553,-126.154,-128.793,-130.793,-257.473,-105.481
6911.925,-141.753,-105.678,-126.154,-128.793,-130.793,-256.972,-105.604
7114.270,-141.622,-105.803,-126.154,-128.793,-130.793,-256.470,-105.727
7322.538,-141.491,-105.928,-126.154,-128.793,-130.793,-255.969,-105.850
7536.904,-141.360,-106.053,-126.154,-128.792,-130.792,-255.468,-105.972
7757.545,-141.228,-106.178,-126.153,-128.792,-130.792,-254.966,-106.095
7984.645,-141.097,-106.303,-126.153,-128.792,-130.792,-254.465,-106.217
8218.394,-140.965,-106.428,-126.153,-128.792,-130.792,-253.964,-106.340
8458.986,-140.833,-106.552,-126.153,-128.792,-130.792,-253.463,-106.462
8706.621,-140.701,-106.677,-126.153,-128.792,-130.792,-252.961,-106.584
8961.505,-140.569,-106.802,-126.153,-128.792,-130.792,-252.460,-106.706
9223.851,-140.437,-106.927,-126.153,-128.792,-130.792,-251.959,-106.828
9493.877,-140.304,-107.052,-126.153,-128.792,-130.792,-251.457,-106.950
9771.808,-140.171,-107.177,-126.153,-128.792,-130.792,-250.956,-107.072
10057.876,-140.038,-107.301,-126.153,-128.792,-130.792,-250.455,-107.194
10352.318,-139.905,-107.426,-126.153,-128.792,-130.792,-249.953,-107.315
10655.380,-139.771,-107.551,-126.153,-128.792,-130.792,-249.452,-107.437
10967.313,-139.638,-107.676,-126.153,-128.792,-130.792,-248.951,-107.558
11288.379,-139.504,-107.800,-126.153,-128.791,-130.791,-248.449,-107.679
11618.844,-139.370,-107.925,-126.152,-128.791,-130.791,-247.948,-107.800
11958.983,-139.235,-108.050,-126.152,-128.791,-130.791,-247.446,-107.921
12309.079,-139.101,-108.174,-126.152,-128.791,-130.791,-246.945,-108.042
12669.425,-138.966,-108.299,-126.152,-128.791,-130.791,-246.444,-108.163
13040.319,-138.831,-108.424,-126.152,-128.791,-130.791,-245.942,-108.284
13422.072,-138.696,-108.548,-126.152,-128.791,-130.791,-245.441,-108.404
13815.000,-138.560,-108.673,-126.152,-128.791,-130.791,-244.939,-108.524
14219.431,-138.424,-108.797,-126.151,-128.790,-130.790,-244.438,-108.645
14635.701,-138.288,-108.922,-126.151,-128.790,-130.790,-243.937,-108.764
